Plnt,ABC,CC Ind,MRP,Material,UM,SLoc,Bin,Unres Qty On Hand,  Last Count,Std Cst,Material description,MS,MS2
US53,C,X,TY1,000059.002,EA,DE01,RIC-A3,0.000,,0.18,LABEL WEEE SYMBOL WHITE,RG,
US53,C,X,TY1,000337.001,EA,1000,B2-E,0.000,,0.01,LBL STANDARD PART,RG,
US53,C,X,TY1,000337.001,EA,DE01,B2-E,0.000,,0.01,LBL STANDARD PART,RG,
US53,C,X,TY1,603.02739,FT,1000,,500.000,,0.64,TBG NYL 1/4ODX.035W MAX CLR NAT,RG,
US53,,C,001,708.01446,EA,1000,K43-A,1.000,12/13/2024,"1,341.00",BOX CLAMPED BNG TOOL 30/38MM SPANS RSA3,RG,
US53,C,D,TY1,708.01456,EA,1000,CART-1,0.000,,756.00,BOX 3-PT BENDING TOOL RSA3,RG,
US53,C,C,TY1,708.01461,EA,1000,K43-A,1.000,12/17/2024,"1,663.00",TOOL SHEAR SANDWICH RSA3,RG,
US53,C,D,TY1,708.01464,EA,1000,CART-1,0.000,05/30/2023,"1,365.00",BOX PRL PL SET 8 15 & 25MM DIA RSA3,RG,
US53,,,001,102376.001,EA,1000,,0.000,,0.05,O-RING BUNA-N 1.049ID X .103CSDIA,RG,
US53,C,X,TY1,102804.000,EA,1000,B2-E,0.000,,0.02,BAG PLSTC 4 X 6 MINIGRIP .002 THK,RG,
US53,C,X,TY1,102804.000,EA,DE01,B2-E,0.000,,0.02,BAG PLSTC 4 X 6 MINIGRIP .002 THK,RG,
US53,C,X,TY1,171381,EA,1000,,0.000,,0.01,"LABEL,PRODUCT",RG,
US53,C,X,TY1,200040.001,EA,DE01,RIC,0.000,,5.48,TAPE PACKING 2-INCH WIDE,RG,
US53,C,X,TY1,200222.001,ROL,DE01,RICA-BTM,0.000,,13.89,LBL BLANK 1.6875 X 1.0 THERM TRNSFR,RG,
US53,C,X,TY1,200399.001,EA,1000,B2-E,0.000,,251.32,YARN CER 1800DENIER 1/2 TYPE 2.7TPI,RG,
US53,C,X,TY1,200399.001,EA,DE01,BULB,0.000,,251.32,YARN CER 1800DENIER 1/2 TYPE 2.7TPI,RG,
US53,C,X,TY1,200423.001,EA,1000,B2-E,0.000,,0.81,BOX MAILER DIE CUT 7X5X2 MOTTLE WHT,RG,
