Plant,ABC,Material,SLOC,Bin,QTY,Last Count,Cost,Description
US53,C,603.02739,1000,,500,,0.64,TBG NYL 1/4ODX.035W MAX CLR NAT
US53,,708.01446,1000,K43-A,1,12/13/2024,"1,341.00",BOX CLAMPED BNG TOOL 30/38MM SPANS RSA3
US53,C,708.01456,1000,CART-1,0,,756,BOX 3-PT BENDING TOOL RSA3
US53,C,708.01461,1000,K43-A,1,12/17/2024,"1,663.00",TOOL SHEAR SANDWICH RSA3
US53,C,708.01464,1000,CART-1,0,5/30/2023,"1,365.00",BOX PRL PL SET 8 15 & 25MM DIA RSA3
US53,,102376.001,1000,,0,,0.05,O-RING BUNA-N 1.049ID X .103CSDIA
US53,C,102804,1000,B2-E,0,,0.02,BAG PLSTC 4 X 6 MINIGRIP .002 THK
US53,C,102804,DE01,B2-E,0,,0.02,BAG PLSTC 4 X 6 MINIGRIP .002 THK
US53,C,171381,1000,,0,,0.01,"LABEL,PRODUCT"
US53,C,200040.001,DE01,RIC,0,,5.48,TAPE PACKING 2-INCH WIDE
US53,C,200222.001,DE01,RICA-BTM,0,,13.89,LBL BLANK 1.6875 X 1.0 THERM TRNSFR
US53,C,200399.001,1000,B2-E,0,,251.32,YARN CER 1800DENIER 1/2 TYPE 2.7TPI
US53,C,200399.001,DE01,BULB,0,,251.32,YARN CER 1800DENIER 1/2 TYPE 2.7TPI
US53,C,200423.001,1000,B2-E,0,,0.81,BOX MAILER DIE CUT 7X5X2 MOTTLE WHT
US53,C,200423.001,DE01,B2-E,75,,0.81,BOX MAILER DIE CUT 7X5X2 MOTTLE WHT
US53,C,200647.001,1000,I6-B,1,,17.5,FAN 40MM X40MM X10MM 24V DC
US53,C,200838.001,DE01,K42-D1,0,,2.07,TBG TGN .31ID X .44OD X .06W TYPE R-3603
US53,C,200867.001,DE01,K42-E1,0,,1.32,TBG TYGON 1/4 ID X 3/8 OD X 1/16 W
US53,C,200896.002,DE01,RIC-A3,0,,0.41,"CLAMP HOSE SPRING 1/2"" SST"
US53,C,200968.011,1000,RIC-A,0,8/13/2024,0.03,WASHER FL #6 0.437OD SST
US53,C,200968.011,DE01,RIC-A,0,,0.03,WASHER FL #6 0.437OD SST
US53,C,201286.001,1000,,0,,113.34,HEAT EXCHANGER
US53,C,201286.001,DE01,P1-A,269,,113.34,HEAT EXCHANGER
US53,C,201287.001,DE01,RIC-A3,0,,0.06,"SCREW THREAD FORMING #6-19 X 1/2"""
US53,C,201364.001,DE01,K42-H1,0,,2,ADAPTER 3/8 BARB TO 1/4 BARB
US53,C,201385.001,1000,,0,,0.94,CONN HOSE NYL 1/4NPT FEM TUFF-LITE
US53,C,201385.001,DE01,K42-H2,0,,0.94,CONN HOSE NYL 1/4NPT FEM TUFF-LITE
US53,C,201714,1000,,0,,53.71,GREASE SI STOPCOCK HI VAC FORMULA
US53,C,201714,DE01,RIC-A2,0,,53.71,GREASE SI STOPCOCK HI VAC FORMULA
US53,C,201783.001,1000,,0,,1.59,"ELBOW REDUCER BARB 3/8"" X 1/4"" NYLON"
US53,C,201783.001,DE01,K42-H4,0,,1.59,"ELBOW REDUCER BARB 3/8"" X 1/4"" NYLON"
US53,C,202382.003,1000,B2-E,0,,17.34,ANSELL TNT BLUE TEXTURED DISP GLOVE LG
US53,C,202382.003,DE01,BULB,0,,17.34,ANSELL TNT BLUE TEXTURED DISP GLOVE LG
US53,C,202397.001,1000,,24,,5.93,TOUCH-UP PAINT MIDNIGHT BLUE
US53,C,202619.003,1000,RIC-A,0,8/13/2024,0.02,RIVET POP OE DOMED HD AL
US53,C,202619.003,DE01,RIC-A,0,,0.02,RIVET POP OE DOMED HD AL
US53,,202992.001,1000,,0,,25.01,"PRESSURE GAUGE 0-100PSI,0-7BAR,1/8NPT"
US53,C,203315,1000,,0,,0.06,ELEC PIN/SKT 3POSN
US53,C,203315,DE01,RIC-A3,0,,0.06,ELEC PIN/SKT 3POSN
US53,C,203525.005,1000,RIC-A,0,8/13/2024,0.01,LOCKWSHR INT T SST #06
US53,C,203525.005,DE01,RIC-A,0,,0.01,LOCKWSHR INT T SST #06
US53,C,204372.001,1000,,0,,0.85,ELBOW M 1/4 NPT-3/8 T NYLON
US53,C,204372.001,DE01,K42-H3,0,,0.85,ELBOW M 1/4 NPT-3/8 T NYLON
US53,C,205064,1000,RIC-A,0,8/13/2024,0.02,NUT 6-32 EXT LK KEPS SMALL PATTERN
US53,C,205064,DE01,RIC-A,0,,0.02,NUT 6-32 EXT LK KEPS SMALL PATTERN
US53,C,205085.026,1000,RIC-A,0,8/13/2024,0.05,SCR 6-32X.50  SOCHD HEX SST
US53,C,205085.026,DE01,RIC-A,0,,0.05,SCR 6-32X.50  SOCHD HEX SST
US53,C,205085.029,1000,RIC-A,0,8/13/2024,0.3,SCRCAP SCH HEX SST 6-32 X.88LG
US53,C,205085.029,DE01,RIC-A,0,,0.3,SCRCAP SCH HEX SST 6-32 X.88LG
US53,C,253963,1000,RIC-A,0,8/13/2024,0.08,NUT 8-32 EXT LOCK KEPS
US53,C,253963,DE01,RIC-A,0,,0.08,NUT 8-32 EXT LOCK KEPS
US53,C,254741,1000,,0,,0.07,CONN BODY PIN/SKT 2-POSN
US53,C,254741,DE01,RIC-A3,0,,0.07,CONN BODY PIN/SKT 2-POSN
US53,C,258376,1000,,0,,3.78,TAPE THD SEALING TEFLON 1/2 W
US53,C,258376,DE01,RIC-A3,0,,3.78,TAPE THD SEALING TEFLON 1/2 W
US53,C,265357.002,1000,,0,,7.57,COUPLING PANEL MOUNT BLK
